V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
Yeni tikili,7 / 12,54 m²,2,var,54 000AZN,vasitəçi (agent),367,10 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,3 / 15,84 m²,3,var,115 000AZN,vasitəçi (agent),154,10 Avqust 2019,"Nəsimi bazarı 
"," Nəsimi r.
",,,,,,,,
Yeni tikili,16 / 17,50 m²,2,yoxdur,85 000AZN,mülkiyyətçi,1277,Dünən 12,"Yasamal bazarı 
"," Yasamal r.
"," Yasamal q.
",,,,,,,
Yeni tikili,6 / 19,97 m²,2,var,195 000AZN,vasitəçi (agent),407,Bugün 14,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,4 / 10,86 m²,2,yoxdur,135 000AZN,vasitəçi (agent),138,11 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,13 / 22,157 m²,3,yoxdur,211 950AZN,vasitəçi (agent),158,11 Avqust 2019,"Xətai r.
",,,,,,,,,
Köhnə tikili,4 / 9,100 m²,4,var,117 000AZN,vasitəçi (agent),215,11 Avqust 2019,"Yasamal r.
"," Yeni Yasamal q.
",,,,,,,,
Yeni tikili,16 / 18,69 m²,2,var,155 000AZN,vasitəçi (agent),177,10 Avqust 2019,"Şah İsmayıl Xətai m.
"," Xətai r.
",,,,,,,,
Yeni tikili,2 / 20,78 m²,2,var,127 000AZN,vasitəçi (agent),186,10 Avqust 2019,"Səbail r.
"," Bayıl q.
",,,,,,,,
Yeni tikili,2 / 8,60 m²,2,yoxdur,58 500AZN,mülkiyyətçi,129,10 Avqust 2019,"Abşeron r.
",,,,,,,,,
Köhnə tikili,3 / 4,118 m²,4,var,380 000AZN,vasitəçi (agent),434,10 Avqust 2019,"Fontanlar bağı 
"," Azərbaycan kinoteatrı 
"," Mərkəzi Univermaq 
"," M.Ə.Sabir parkı 
"," Xalça Muzeyi 
"," Sahil m.
"," İçəri Şəhər m.
"," Səbail r.
",,
Yeni tikili,13 / 15,52 m²,2,var,65 000AZN,vasitəçi (agent),159,Dünən 11,"Xırdalan
",,,,,,,,,
Yeni tikili,4 / 17,148 m²,3,var,270 000AZN,vasitəçi (agent),750,Dünən 01,"Space TV 
"," Nərimanov heykəli 
"," Texniki Universiteti 
"," Yasamal r.
"," Yasamal q.
",,,,,
Yeni tikili,11 / 18,100 m²,2,yoxdur,119 000AZN,vasitəçi (agent),162,11 Avqust 2019,"Binəqədi r.
"," 7-ci mikrorayon q.
",,,,,,,,
Köhnə tikili,5 / 5,45 m²,2,var,67 000AZN,mülkiyyətçi,196,11 Avqust 2019,"Neftçilər m.
"," Nizami r.
"," 8-ci kilometr q.
",,,,,,,
Yeni tikili,9 / 19,76 m²,2,yoxdur,75 000AZN,vasitəçi (agent),224,11 Avqust 2019,"İnşaatçılar m.
"," Yasamal r.
"," Yeni Yasamal q.
",,,,,,,
Yeni tikili,11 / 17,159 m²,3,var,222 600AZN,vasitəçi (agent),180,10 Avqust 2019,"Cavanşir körpüsü 
"," Xətai r.
",,,,,,,,
Yeni tikili,3 / 16,97 m²,2,yoxdur,124 000AZN,mülkiyyətçi,210,10 Avqust 2019,"Tibb Universiteti 
"," Nəsimi r.
",,,,,,,,
Köhnə tikili,9 / 9,40 m²,2,var,63 000AZN,mülkiyyətçi,142,10 Avqust 2019,"Xətai r.
"," Əhmədli q.
",,,,,,,,
Köhnə tikili,5 / 9,75 m²,3,var,135 000AZN,vasitəçi (agent),205,10 Avqust 2019,"Şəhidlər xiyabanı 
"," Səbail r.
"," Badamdar q.
",,,,,,,
Yeni tikili,14 / 19,65 m²,2,var,180 000AZN,mülkiyyətçi,1043,Bugün 12,"Nəsimi r.
",,,,,,,,,
Köhnə tikili,2 / 5,80 m²,4,var,88 000AZN,vasitəçi (agent),279,Dünən 01,"Sumqayıt
",,,,,,,,,
Yeni tikili,4 / 9,39 m²,2,var,46 000AZN,vasitəçi (agent),163,11 Avqust 2019,"Abşeron r.
"," Masazır q.
",,,,,,,,
Yeni tikili,15 / 17,137 m²,3,var,240 000AZN,vasitəçi (agent),383,Bugün 13,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Köhnə tikili,5 / 5,43 m²,2,var,165 000AZN,mülkiyyətçi,6645,11 Avqust 2019,"Gənclik m.
"," Respublika stadionu 
"," Nərimanov r.
",,,,,,,
Yeni tikili,5 / 10,133 m²,3,var,190 000AZN,vasitəçi (agent),2885,Bugün 14,"İnşaatçılar m.
"," Yasamal r.
",,,,,,,,
Yeni tikili,11 / 17,145 m²,3,var,295 000AZN,vasitəçi (agent),154,10 Avqust 2019,"Elmlər Akademiyası m.
"," Hüseyn Cavid parkı 
"," Yasamal r.
"," Yasamal q.
",,,,,,
Yeni tikili,3 / 5,150 m²,3,var,350 000AZN,vasitəçi (agent),132,10 Avqust 2019,"Ağ şəhər 
"," Xətai r.
",,,,,,,,
Köhnə tikili,1 / 5,30 m²,1,var,56 000AZN,vasitəçi (agent),399,10 Avqust 2019,"Yasamal bazarı 
"," Yasamal r.
",,,,,,,,
Yeni tikili,13 / 16,75 m²,2,var,95 000AZN,vasitəçi (agent),172,Dünən 11,"Əhmədli m.
"," Xətai r.
"," Əhmədli q.
",,,,,,,
Yeni tikili,8 / 10,54 m²,1,var,38 700AZN,vasitəçi (agent),323,Dünən 01,"Sabunçu r.
"," Zabrat q.
",,,,,,,,
